dataset_id,train_ratio,input_dim,output_dim,num_epochs,batch_size,learning_rate,loss_function,embedding_type,negative_ratio,temperature,train_auc,valid_auc,test_auc,train_pr_auc,valid_pr_auc,test_pr_auc,train_f1,valid_f1,test_f1,train_k_precision,valid_k_precision,test_k_precision,train_mcc,valid_mcc,test_mcc,train_k_recall,valid_k_recall,test_k_recall
1006,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9541,0.9581,0.9418,0.3792,0.414,0.384,0.0819,0.0821,0.0817,0.3816,0.4393,0.3699,-0.0045,0.0033,-0.0391,0.3816,0.4393,0.3699
1005,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.7964,0.7886,0.7985,0.257,0.2414,0.2485,0.1664,0.1667,0.1661,0.2872,0.2807,0.2779,-0.0083,0.0122,-0.0317,0.2872,0.2807,0.2779
1003,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9827794440612896,0.9854081286443009,0.9777780429928693,0.35348148698766646,0.05294527245682173,0.05652156958574346,0.01623549409437874,0.002067929690390527,0.002015983872129023,,,,,,,,,
1003,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9822928348336498,0.9772568623682341,0.9778183388577514,0.35328281574315673,0.04167800024503339,0.05103735699356766,0.01630639825577932,0.001980019800198002,0.002031967488520184,0.3609352167559669,0.03434343434343434,0.06299212598425197,,,,,,
1003,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9781,0.9817,0.9737,0.3014,0.3191,0.3267,0.0162,0.0162,0.0162,0.2919,0.3105,0.3381,0.0005,-0.0026,-0.0044,0.2919,0.3105,0.3381
1003,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9816,0.9735,0.9767,0.3114,0.0394,0.0447,0.0162,0.002,0.0021,0.3073,0.0318,0.0457,0.0,0.0,0.0,0.3073,0.0318,0.0457
1003,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9805278251710039,0.9788737621439516,0.9833969258402893,,,,,,,,,,,,,,,
1,0.8,64,16,5,16,0.001,SNN,pca,100,0.1,0.4859,0.4954,0.4996,0.0233,0.0244,0.0277,0.0503,0.0508,0.0506,0.0049,0.0,0.0385,0.006,0.009,0.0,0.0049,0.0,0.0385
1,0.3,64,16,5,16,0.0005,SNN,pca,50,0.1,0.5407,0.5314,0.5034,0.0271,0.0305,0.0253,0.0501,0.0502,0.0507,0.013,0.0444,0.0,0.0059,0.0048,0.0062,0.013,0.0444,0.0
1,0.3,64,16,5,64,0.001,SNN,pca,100,0.1,0.5645,0.5971,0.5765,0.0317,0.0316,0.0324,0.0501,0.0503,0.0507,0.026,0.0222,0.022,0.0059,0.0078,0.0055,0.026,0.0222,0.022
