Gene1,Gene2
cbx7,trim2
cbx7,tgfbr3
cbx7,col27a1
cbx7,fgf3
cbx7,htra1
cbx7,esrrb
cbx7,nrg2
cbx7,grb10
cbx7,foxq1
cbx7,slco3a1
cbx7,fgfr3
cbx7,bmper
cbx7,tpm1
cbx7,chst15
cbx7,cdh6
cbx7,pth1r
cbx7,gas6
cbx7,gdpd5
cbx7,gnas
cbx7,sox7
cbx7,thbd
cbx7,p3h2
cbx7,zfpm1
cbx7,lrrk1
cbx7,cited1
cbx7,app
cbx7,fst
cbx7,col4a2
cbx7,col4a1
cbx7,khdc3
cbx7,spock1
cbx7,vim
cbx7,cachd1
cbx7,st3gal6
cbx7,ctdspl
cbx7,tns1
cbx7,podxl
cbx7,frmd4a
cbx7,cyp26a1
cbx7,cpm
cbx7,zbtb10
cbx7,gprc5c
cbx7,dtx1
cbx7,mras
cbx7,dkk1
cbx7,myo5b
cbx7,ddah1
cbx7,serpine2
cbx7,man1a
cbx7,parva
cbx7,epas1
cbx7,chn2
cbx7,spns2
cbx7,lrp2
cbx7,id3
cbx7,pde4dip
cbx7,obsl1
cbx7,p4ha2
cbx7,nrg1
cbx7,phldb2
cbx7,fgf10
cbx7,ptpn14
cbx7,kdelr3
cbx7,sh3pxd2b
cbx7,igf2
cbx7,msc
cbx7,eva1a
cbx7,ank
cbx7,cobll1
cbx7,ccnd2
cbx7,smarca2
cbx7,emp2
cbx7,arhgap29
cbx7,klf4
cbx7,bmp4
cbx7,ets1
cbx7,ndrg1
cbx7,retreg2
cbx7,notum
cbx7,sema4c
cbx7,hnf1b
cbx7,hs3st1
cbx7,morc4
cbx7,dpp4
cbx7,bcat1
cbx7,nid1
cbx7,marcks
cbx7,lad1
cbx7,timp3
cbx7,vegfa
cbx7,loxl2
cbx7,impdh1
cbx7,commd3
cbx7,kit
cbx7,mapkapk2
cbx7,klf2
cbx7,timp2
cbx7,pcsk6
cbx7,fabp3
cbx7,lama1
cbx7,epha4
cbx7,plk2
cbx7,gcnt1
cbx7,usp3
cbx7,car4
cbx7,sox17
cbx7,lamb1
cbx7,ttc7
cbx7,sfmbt2
cbx7,aqp3
cbx7,pxdn
cbx7,mt1
cbx7,mfsd1
cbx7,oat
cbx7,arhgef5
cbx7,gsn
cbx7,itga9
cbx7,pdgfra
cbx7,fgfr4
cbx7,ckb
cbx7,tenm4
cbx7,shroom3
cbx7,mcam
cbx7,runx1
cbx7,clcn5
cbx7,cemip
cbx7,hspb1
cbx7,ghr
cbx7,rbm47
cbx7,cdkn1a
cbx7,txnip
cbx7,stard10
cbx7,rtn1
cbx7,cdca7
cbx7,tcea3
cbx7,anxa5
cbx7,vangl1
cbx7,phlda3
cbx7,tyro3
cbx7,sfi1
cbx7,rhpn1
cbx7,adam15
cbx7,anxa2
cbx7,b2m
cbx7,dnmt3a
cbx7,f2r
cbx7,arhgef40
cbx7,sdc4
cbx7,slc25a4
cbx7,upp1
cbx7,amfr
cbx7,rbms1
cbx7,stard8
cbx7,mme
cbx7,myc
cbx7,zyx
cbx7,ly75
cbx7,mtf2
cbx7,rnpep
cbx7,nsmaf
cbx7,krt8
cbx7,dusp9
cbx7,cltc
cbx7,pcolce2
cbx7,jam2
cbx7,igfbp2
cbx7,abhd5
cbx7,rasgrp2
cbx7,nr0b1
cbx7,gata6
cbx7,dab2
cbx7,parvb
cbx7,krt19
cbx7,gjb3
cbx7,gata4
