Gene1,Gene2,Score
bmi1,gata2,375.0
bmi1,ppm1h,617.0
bmi1,armc8,638.0
bmi1,trib2,524.0
bmi1,bmi1,279.0
bmi1,atp7b,334.0
bmi1,alg11,334.0
bmi1,hoxa9,337.0
bmi1,myo1d,331.0
bmi1,hlf,265.0
bmi1,golm1,206.0
bmi1,lcp1,332.0
bmi1,asns,168.0
bmi1,tmem56,258.0
bmi1,tifa,228.0
bmi1,sphk1,159.0
bmi1,mef2c,255.0
bmi1,tspan33,152.0
bmi1,gatm,212.0
bmi1,pik3c3,155.0
bmi1,sqor,134.0
bmi1,gfi1b,136.0
bmi1,metap1d,115.0
bmi1,plcg2,124.0
bmi1,sgo1,199.0
bmi1,st8sia4,187.0
bmi1,snx10,183.0
bmi1,slc25a21,104.0
bmi1,psmf1,174.0
bmi1,pde4b,173.0
bmi1,wdr75,154.0
bmi1,prkch,151.0
bmi1,gnb4,148.0
bmi1,st3gal6,147.0
bmi1,angpt1,147.0
bmi1,epdr1,139.0
bmi1,champ1,135.0
bmi1,rcor1,130.0
bmi1,mycn,122.0
bmi1,eya2,121.0
bmi1,slc11a2,115.0
bmi1,gcnt2,114.0
bmi1,btrc,103.0
bmi1,il27ra,101.0
bmi1,ank,101.0
cbfb,msh6,2386.0
cbfb,slc35a1,2378.0
cbfb,copg1,2085.0
cbfb,orc5,1604.0
cbfb,hemgn,2379.0
cbfb,calu,1753.0
cbfb,limd2,2036.0
cbfb,timm29,1667.0
cbfb,otud6b,1505.0
cbfb,wdr5,1641.0
cbfb,nop2,1401.0
cbfb,clptm1l,1319.0
cbfb,dnajc11,1608.0
cbfb,seh1l,1380.0
cbfb,tes,1896.0
cbfb,dnajc10,1166.0
cbfb,snrnp200,1979.0
cbfb,ndor1,1274.0
cbfb,acss2,1070.0
cbfb,pcyt1a,1583.0
cbfb,gars,1106.0
cbfb,nuf2,1801.0
cbfb,rangap1,1371.0
cbfb,esyt2,1223.0
cbfb,arl6ip6,1337.0
cbfb,hspa4l,1081.0
cbfb,rprd1b,2128.0
cbfb,atg16l1,1624.0
cbfb,vps26c,927.0
cbfb,pmpca,1004.0
cbfb,erlin2,1410.0
cbfb,pkm,1218.0
cbfb,armt1,1221.0
cbfb,rcor1,1087.0
cbfb,unk,1188.0
cbfb,dcaf13,1211.0
cbfb,spns2,1482.0
cbfb,ppat,1126.0
cbfb,casp2,1016.0
cbfb,nudcd3,1302.0
cbfb,ctps,1345.0
cbfb,prkch,1078.0
cbfb,morc3,1068.0
cbfb,pglyrp2,1575.0
cbfb,atad2,1446.0
cbfb,supt7l,2335.0
cbfb,tmem129,1328.0
cbfb,tacc3,1328.0
cbfb,ddx20,1368.0
cbfb,eif1ad,1821.0
cbfb,tfr2,1464.0
cbfb,atp2a3,1420.0
cbfb,mis12,1022.0
cbfb,fam76b,1047.0
cbfb,gosr2,1101.0
cbfb,mis18bp1,1481.0
cbfb,wars,1191.0
cbfb,pfkm,937.0
cbfb,ap5m1,1224.0
cbfb,stk25,1091.0
cbfb,nceh1,1122.0
cbfb,cstf2,1106.0
cbfb,clpx,1189.0
cbfb,crnkl1,1428.0
cbfb,rabggtb,883.0
cbfb,gmfb,1137.0
cbfb,pole3,1723.0
cbfb,acap1,1177.0
cbfb,eya2,1293.0
cbfb,pwp2,1314.0
cbfb,incenp,1145.0
cbfb,birc5,1024.0
cbfb,dus1l,1358.0
cbfb,rad51ap1,1497.0
cbfb,rexo4,1500.0
cbfb,fignl1,981.0
cbfb,pja2,915.0
cbfb,clic4,813.0
cbfb,trmt2a,1469.0
cbfb,9430015g10rik,1079.0
cbfb,colgalt1,1178.0
cbfb,plec,753.0
cbfb,gypc,1019.0
cbfb,cmpk2,1170.0
cbfb,far1,976.0
cbfb,rassf5,1125.0
cbfb,ddhd2,836.0
cbfb,1700017b05rik,976.0
cbfb,pik3r2,822.0
cbfb,armc8,1471.0
cbfb,nudt9,1013.0
cbfb,treml2,905.0
cbfb,uba5,1483.0
cbfb,wdr36,1055.0
cbfb,anapc2,1000.0
cbfb,dusp2,1331.0
cbfb,gtf2h1,1221.0
cbfb,serpinb9,857.0
cbfb,dph6,1064.0
cbfb,rnf115,852.0
cbfb,csgalnact2,1052.0
cbfb,pno1,1169.0
cbfb,rasal3,1088.0
cbfb,cenpe,1089.0
cbfb,slc14a1,1092.0
cbfb,psmf1,1382.0
cbfb,ngly1,923.0
cbfb,fem1b,1103.0
cbfb,c330018d20rik,932.0
cbfb,dhx33,1248.0
cbfb,cul2,1436.0
cbfb,chmp7,1273.0
cbfb,pold1,926.0
cbfb,chordc1,1069.0
cbfb,pheta2,1429.0
cbfb,nif3l1,924.0
cbfb,ubac1,918.0
cbfb,scrn3,1474.0
cbfb,eps15,797.0
cbfb,cdc45,1004.0
cbfb,xpc,803.0
cbfb,mtmr6,1275.0
cbfb,cdca5,1146.0
cbfb,ypel3,1030.0
cbfb,zdhhc6,1362.0
cbfb,cdk1,945.0
cbfb,abhd16a,917.0
cbfb,kat7,851.0
cbfb,fchsd2,895.0
cbfb,prkab1,1011.0
cbfb,acss1,1109.0
cbfb,naa35,940.0
cbfb,dnpep,1004.0
cbfb,stxbp3,1020.0
cbfb,ptpn12,680.0
cbfb,nt5dc1,974.0
cbfb,hmbs,779.0
cbfb,metap1,811.0
cbfb,zzz3,935.0
cbfb,atp7b,868.0
cbfb,alg11,868.0
cbfb,tcp11l2,1006.0
