Gene1,Gene2,Score
cbfb,msh6,2386.0
cbfb,cltc,1778.0
cbfb,slc2a3,1502.0
cbfb,arid5a,1700.0
cbfb,tmem229b,1785.0
cbfb,timm29,1667.0
cbfb,idh1,1540.0
cbfb,otud6b,1505.0
cbfb,wdr5,1641.0
cbfb,dock10,2185.0
cbfb,nop2,1401.0
cbfb,nsun2,1505.0
cbfb,clptm1l,1319.0
cbfb,hjurp,1422.0
cbfb,dnajc11,1608.0
cbfb,seh1l,1380.0
cbfb,ddx21,1598.0
cbfb,tes,1896.0
cbfb,dnajc10,1166.0
cbfb,snrnp200,1979.0
cbfb,mtmr4,1144.0
cbfb,acss2,1070.0
cbfb,nus1,1227.0
cbfb,f2r,1169.0
cbfb,gars,1106.0
cbfb,nuf2,1801.0
cbfb,rangap1,1371.0
cbfb,arl6ip6,1337.0
cbfb,ect2,1159.0
cbfb,rprd1b,2128.0
cbfb,irf9,1298.0
cbfb,armt1,1221.0
cbfb,rcor1,1087.0
cbfb,mgat1,978.0
cbfb,dcaf13,1211.0
cbfb,spns2,1482.0
cbfb,osbpl8,1051.0
cbfb,nfat5,1118.0
cbfb,ppat,1126.0
cbfb,ctps,1345.0
cbfb,prkch,1078.0
cbfb,morc3,1068.0
cbfb,pglyrp2,1575.0
cbfb,atad2,1446.0
cbfb,tacc3,1328.0
cbfb,ddx20,1368.0
cbfb,eif1ad,1821.0
cbfb,tfr2,1464.0
cbfb,ly9,1556.0
cbfb,mis12,1022.0
cbfb,fam76b,1047.0
cbfb,mis18bp1,1481.0
cbfb,nceh1,1122.0
cbfb,cstf2,1106.0
cbfb,hat1,1030.0
cbfb,rabggtb,883.0
cbfb,gmfb,1137.0
cbfb,pole3,1723.0
cbfb,eya2,1293.0
cbfb,pwp2,1314.0
cbfb,incenp,1145.0
cbfb,birc5,1024.0
cbfb,dus1l,1358.0
cbfb,lrrc59,1114.0
cbfb,rad51ap1,1497.0
cbfb,rexo4,1500.0
cbfb,fignl1,981.0
cbfb,por,1404.0
cbfb,9430015g10rik,1079.0
cbfb,colgalt1,1178.0
cbfb,phf5a,1148.0
cbfb,med16,1263.0
cbfb,api5,1090.0
cbfb,slbp,901.0
cbfb,far1,976.0
cbfb,mrpl20,1438.0
cbfb,1700017b05rik,976.0
cbfb,pik3r2,822.0
cbfb,galnt6,1729.0
cbfb,xrcc6,928.0
cbfb,gtf2h1,1221.0
cbfb,hdac7,951.0
cbfb,serpinb9,857.0
cbfb,hcfc1,773.0
cbfb,ap1s2,989.0
cbfb,tnpo1,1106.0
cbfb,csgalnact2,1052.0
cbfb,pno1,1169.0
cbfb,cipc,1035.0
cbfb,cenpe,1089.0
cbfb,rptor,1042.0
cbfb,fem1b,1103.0
cbfb,dhx33,1248.0
cbfb,cks2,826.0
cbfb,pold1,926.0
cbfb,chordc1,1069.0
cbfb,ubac1,918.0
cbfb,lonp2,947.0
cbfb,ruvbl2,1197.0
cbfb,tespa1,1492.0
cbfb,cdc45,1004.0
cbfb,xpc,803.0
cbfb,mtmr6,1275.0
cbfb,cdca5,1146.0
cbfb,ypel3,1030.0
cbfb,zdhhc6,1362.0
cbfb,cdk1,945.0
cbfb,kat7,851.0
cbfb,tex10,1118.0
cbfb,tab1,1183.0
cbfb,zbtb20,1021.0
cbfb,shisa5,921.0
cbfb,metap1,811.0
cbfb,tomm70a,1535.0
cbfb,tcp11l2,1006.0
cbfb,fgfr1op,851.0
cbfb,ndufs1,1577.0
cbfb,elac2,1091.0
cbfb,ckap5,972.0
cbfb,pde4b,1064.0
cbfb,zhx1,1799.0
cbfb,ifrd2,911.0
cbfb,ezr,792.0
cbfb,zfp24,754.0
cbfb,mcm7,1209.0
cbfb,st8sia4,866.0
cbfb,tmem33,1094.0
cbfb,top3b,921.0
cbfb,isg20,638.0
cbfb,kif11,1030.0
cbfb,ptdss1,1004.0
cbfb,ahcyl1,917.0
cbfb,rad21,630.0
cbfb,ipo9,675.0
cbfb,atp8b4,719.0
cbfb,prmt5,1142.0
cbfb,adk,975.0
cbfb,mcm4,1102.0
cbfb,gpr65,1112.0
cbfb,itgal,844.0
cbfb,mgat5,731.0
cbfb,nol9,885.0
cbfb,srm,867.0
cbfb,arhgap15,1121.0
cbfb,prmt7,731.0
cbfb,cs,728.0
cbfb,nolc1,1293.0
cbfb,hars,1564.0
cbfb,fastkd2,1275.0
cbfb,thada,1009.0
cbfb,psme3,1825.0
cbfb,mogs,538.0
cbfb,cdca3,1062.0
cbfb,ctr9,1045.0
cbfb,slc31a1,672.0
cbfb,mars,976.0
cbfb,ptcd3,1126.0
cbfb,fam102b,935.0
cbfb,sla2,1062.0
cbfb,nudcd1,861.0
cbfb,psmd1,1077.0
cbfb,rfc4,730.0
cbfb,cul3,717.0
cbfb,cdca8,1054.0
cbfb,ncaph,673.0
cbfb,eftud2,887.0
cbfb,zfp422,954.0
cbfb,ubr7,901.0
cbfb,cdca4,766.0
cbfb,dhrs3,698.0
cbfb,mdn1,908.0
cbfb,elovl5,696.0
cbfb,memo1,711.0
cbfb,mpzl1,755.0
cbfb,vkorc1l1,750.0
cbfb,stat2,648.0
cbfb,dusp1,581.0
cbfb,tbl3,837.0
cbfb,otulinl,847.0
cbfb,sptbn1,811.0
cbfb,itsn1,727.0
cbfb,cenpo,844.0
cbfb,satb1,904.0
cbfb,ndc1,1136.0
cbfb,hacd3,1012.0
cbfb,abl2,794.0
cbfb,uap1,808.0
cbfb,cbfb,736.0
cbfb,shmt1,1026.0
cbfb,fam136a,801.0
cbfb,eif2b1,863.0
cbfb,spns3,570.0
cbfb,mief1,1212.0
cbfb,mtrex,905.0
cbfb,glb1,671.0
cbfb,dok2,844.0
cbfb,tmem43,727.0
cbfb,prodh,683.0
cbfb,ccne2,1470.0
cbfb,pld3,791.0
cbfb,plin3,553.0
cbfb,ctc1,607.0
cbfb,farsb,1049.0
cbfb,sf3b3,982.0
cbfb,gbp3,886.0
cbfb,nfkbia,555.0
cbfb,pdia4,658.0
cbfb,dennd1c,863.0
cbfb,kpna3,679.0
cbfb,cbx5,703.0
cbfb,ndufv1,847.0
cbfb,rrm1,796.0
cbfb,kctd12,652.0
cbfb,usp37,1327.0
cbfb,bcl2,678.0
cbfb,slc35a4,1077.0
cbfb,abcb8,572.0
cbfb,h2afx,696.0
cbfb,fbxw11,777.0
cbfb,akap8l,683.0
cbfb,ncapd2,668.0
cbfb,eaf1,843.0
cbfb,nubp2,933.0
cbfb,rnf38,711.0
cbfb,d1ertd622e,765.0
cbfb,foxred1,743.0
cbfb,cks1b,981.0
cbfb,gprasp1,978.0
cbfb,def8,914.0
cbfb,psmd9,841.0
cbfb,setd2,701.0
cbfb,rars,794.0
cbfb,hdac2,960.0
cbfb,ubash3a,815.0
cbfb,bysl,806.0
cbfb,ppp1cb,509.0
cbfb,eif3b,872.0
cbfb,timm50,745.0
cbfb,atrn,815.0
cbfb,tpm4,1390.0
cbfb,zdhhc13,697.0
cbfb,tubgcp2,643.0
cbfb,capg,961.0
cbfb,pstpip1,932.0
cbfb,tspan3,798.0
cbfb,panx1,729.0
cbfb,tmx4,618.0
cbfb,nup155,537.0
cbfb,pbk,761.0
cbfb,smc2,880.0
cbfb,psmd6,766.0
cbfb,atf7,835.0
cbfb,slc35e1,801.0
cbfb,tmem184c,880.0
cbfb,fastkd3,700.0
cbfb,tomm40,633.0
cbfb,e2f8,644.0
cbfb,tpx2,841.0
cbfb,dck,574.0
cbfb,tspan14,658.0
cbfb,cst7,831.0
cbfb,ctsl,683.0
cbfb,lax1,763.0
cbfb,abhd17b,1123.0
cbfb,polr1b,800.0
cbfb,shcbp1,708.0
cbfb,mfsd1,1130.0
cbfb,mob3c,497.0
cbfb,zfp35,688.0
cbfb,itih5,933.0
cbfb,trmt6,1107.0
cbfb,cd69,726.0
cbfb,vps35,654.0
cbfb,orc6,654.0
cbfb,cish,576.0
cbfb,mad2l1,658.0
cbfb,dpp8,923.0
cbfb,tgfbr1,605.0
cbfb,dtl,692.0
cbfb,ncapg2,722.0
cbfb,nup93,807.0
cbfb,anxa5,943.0
cbfb,gtf2f1,860.0
cbfb,atp13a1,690.0
cbfb,herpud1,601.0
