Gene1,Gene2,Score
cbfb,slc2a3,1502.0
cbfb,nfe2,2138.0
cbfb,arid5a,1700.0
cbfb,camsap2,1678.0
cbfb,slc39a13,1904.0
cbfb,card6,2337.0
cbfb,dock10,2185.0
cbfb,ssh2,2460.0
cbfb,tes,1896.0
cbfb,f2r,1169.0
cbfb,hspe1,1611.0
cbfb,adgrg1,1425.0
cbfb,mgat1,978.0
cbfb,spns2,1482.0
cbfb,prkch,1078.0
cbfb,tfr2,1464.0
cbfb,ly9,1556.0
cbfb,tmem123,1062.0
cbfb,nceh1,1122.0
cbfb,acap1,1177.0
cbfb,eya2,1293.0
cbfb,ranbp1,1469.0
cbfb,slbp,901.0
cbfb,tbxa2r,1598.0
cbfb,cmah,1528.0
cbfb,xrcc6,928.0
cbfb,slc26a11,1210.0
cbfb,dynll1,1387.0
cbfb,serp1,1039.0
cbfb,hdac7,951.0
cbfb,ptpre,694.0
cbfb,ap1s2,989.0
cbfb,cipc,1035.0
cbfb,rasal3,1088.0
cbfb,cdk17,1047.0
cbfb,lck,1404.0
cbfb,ppm1g,827.0
cbfb,icos,1561.0
cbfb,pafah2,1099.0
cbfb,nt5c3,1173.0
cbfb,lonp2,947.0
cbfb,tespa1,1492.0
cbfb,xpc,803.0
cbfb,elf1,843.0
cbfb,btla,1399.0
cbfb,ccr7,1428.0
cbfb,zfp658,1138.0
cbfb,zbtb20,1021.0
cbfb,vamp1,883.0
cbfb,lcp1,1162.0
cbfb,zfp62,708.0
cbfb,ccng2,1453.0
cbfb,gpr171,1237.0
cbfb,ppcdc,846.0
cbfb,h2afy,1046.0
cbfb,mcm7,1209.0
cbfb,st8sia4,866.0
cbfb,rps27l,882.0
cbfb,atp8b4,719.0
cbfb,mcm4,1102.0
cbfb,gpr65,1112.0
cbfb,itgal,844.0
cbfb,tubb4b,749.0
cbfb,arhgap15,1121.0
cbfb,mogs,538.0
cbfb,itgb2,912.0
cbfb,ctr9,1045.0
cbfb,laptm5,918.0
cbfb,stk17b,642.0
cbfb,gbp4,1104.0
cbfb,zfp422,954.0
cbfb,arhgdib,741.0
cbfb,dhrs3,698.0
cbfb,pkn3,733.0
cbfb,elovl5,696.0
cbfb,mpzl1,755.0
cbfb,dusp1,581.0
cbfb,pbld2,827.0
cbfb,otulinl,847.0
cbfb,itsn1,727.0
cbfb,zyx,705.0
cbfb,satb1,904.0
cbfb,cbfb,736.0
cbfb,spns3,570.0
