Gene1,Gene2
Gene_0,Gene_0
Gene_0,Gene_3
Gene_0,Gene_6
Gene_0,Gene_8
Gene_0,Gene_9
Gene_0,Gene_10
Gene_0,Gene_11
Gene_0,Gene_12
Gene_0,Gene_13
Gene_0,Gene_14
Gene_0,Gene_15
Gene_0,Gene_16
Gene_0,Gene_17
Gene_0,Gene_19
Gene_0,Gene_20
Gene_0,Gene_21
Gene_0,Gene_22
Gene_0,Gene_23
Gene_0,Gene_24
Gene_0,Gene_25
Gene_0,Gene_26
Gene_0,Gene_27
Gene_0,Gene_28
Gene_0,Gene_29
Gene_0,Gene_30
Gene_0,Gene_31
Gene_0,Gene_32
Gene_0,Gene_34
Gene_0,Gene_35
Gene_0,Gene_36
Gene_0,Gene_37
Gene_0,Gene_38
Gene_0,Gene_39
Gene_0,Gene_40
Gene_0,Gene_41
Gene_0,Gene_42
Gene_0,Gene_43
Gene_0,Gene_44
Gene_0,Gene_45
Gene_0,Gene_46
Gene_0,Gene_47
Gene_0,Gene_49
Gene_0,Gene_51
Gene_0,Gene_52
Gene_0,Gene_53
Gene_0,Gene_55
Gene_0,Gene_56
Gene_0,Gene_57
Gene_0,Gene_58
Gene_0,Gene_59
Gene_0,Gene_60
Gene_0,Gene_61
Gene_0,Gene_63
Gene_0,Gene_64
Gene_0,Gene_65
Gene_0,Gene_66
Gene_0,Gene_67
Gene_0,Gene_68
Gene_0,Gene_69
Gene_0,Gene_70
Gene_0,Gene_71
Gene_0,Gene_72
Gene_0,Gene_73
Gene_0,Gene_74
Gene_0,Gene_75
Gene_0,Gene_77
Gene_0,Gene_78
Gene_0,Gene_79
Gene_0,Gene_80
Gene_0,Gene_81
Gene_0,Gene_82
Gene_0,Gene_83
Gene_0,Gene_84
Gene_0,Gene_86
Gene_0,Gene_87
Gene_0,Gene_88
Gene_0,Gene_89
Gene_0,Gene_90
Gene_0,Gene_91
Gene_0,Gene_92
Gene_0,Gene_93
Gene_0,Gene_94
Gene_0,Gene_95
Gene_0,Gene_96
Gene_0,Gene_97
Gene_0,Gene_98
Gene_0,Gene_99
Gene_1,Gene_1
Gene_1,Gene_14
Gene_1,Gene_17
Gene_1,Gene_44
Gene_1,Gene_56
Gene_1,Gene_62
Gene_1,Gene_67
Gene_1,Gene_74
Gene_1,Gene_75
Gene_1,Gene_78
Gene_1,Gene_79
Gene_1,Gene_82
Gene_1,Gene_83
Gene_1,Gene_84
Gene_1,Gene_87
Gene_1,Gene_90
Gene_1,Gene_93
Gene_1,Gene_94
Gene_1,Gene_96
Gene_1,Gene_99
Gene_2,Gene_0
Gene_2,Gene_1
Gene_2,Gene_5
Gene_2,Gene_6
Gene_2,Gene_7
Gene_2,Gene_8
Gene_2,Gene_10
Gene_2,Gene_12
Gene_2,Gene_13
Gene_2,Gene_14
Gene_2,Gene_15
Gene_2,Gene_16
Gene_2,Gene_17
Gene_2,Gene_18
Gene_2,Gene_19
Gene_2,Gene_20
Gene_2,Gene_21
Gene_2,Gene_24
Gene_2,Gene_25
Gene_2,Gene_26
Gene_2,Gene_27
Gene_2,Gene_28
Gene_2,Gene_29
Gene_2,Gene_30
Gene_2,Gene_32
Gene_2,Gene_34
Gene_2,Gene_35
Gene_2,Gene_36
Gene_2,Gene_37
Gene_2,Gene_38
Gene_2,Gene_39
Gene_2,Gene_40
Gene_2,Gene_41
Gene_2,Gene_43
Gene_2,Gene_44
Gene_2,Gene_46
Gene_2,Gene_47
Gene_2,Gene_48
Gene_2,Gene_49
Gene_2,Gene_50
Gene_2,Gene_51
Gene_2,Gene_52
Gene_2,Gene_53
Gene_2,Gene_56
Gene_2,Gene_58
Gene_2,Gene_59
Gene_2,Gene_61
Gene_2,Gene_62
Gene_2,Gene_63
Gene_2,Gene_64
Gene_2,Gene_65
Gene_2,Gene_67
Gene_2,Gene_68
Gene_2,Gene_69
Gene_2,Gene_70
Gene_2,Gene_71
Gene_2,Gene_72
Gene_2,Gene_74
Gene_2,Gene_75
Gene_2,Gene_76
Gene_2,Gene_77
Gene_2,Gene_78
Gene_2,Gene_80
Gene_2,Gene_81
Gene_2,Gene_82
Gene_2,Gene_83
Gene_2,Gene_84
Gene_2,Gene_86
Gene_2,Gene_87
Gene_2,Gene_89
Gene_2,Gene_90
Gene_2,Gene_92
Gene_2,Gene_93
Gene_2,Gene_94
Gene_2,Gene_96
Gene_2,Gene_97
Gene_2,Gene_98
Gene_2,Gene_99
Gene_3,Gene_0
Gene_3,Gene_1
Gene_3,Gene_2
Gene_3,Gene_3
Gene_3,Gene_4
Gene_3,Gene_5
Gene_3,Gene_6
Gene_3,Gene_7
Gene_3,Gene_8
Gene_3,Gene_9
Gene_3,Gene_10
Gene_3,Gene_11
Gene_3,Gene_12
Gene_3,Gene_13
Gene_3,Gene_14
Gene_3,Gene_15
Gene_3,Gene_16
Gene_3,Gene_18
