Gene1,Gene2
Gene_1,Gene_1
Gene_1,Gene_14
Gene_1,Gene_17
Gene_1,Gene_44
Gene_1,Gene_56
Gene_1,Gene_62
Gene_1,Gene_67
Gene_1,Gene_74
Gene_1,Gene_75
Gene_1,Gene_76
Gene_1,Gene_78
Gene_1,Gene_79
Gene_1,Gene_82
Gene_1,Gene_83
Gene_1,Gene_84
Gene_1,Gene_85
Gene_1,Gene_87
Gene_1,Gene_90
Gene_1,Gene_93
Gene_1,Gene_94
Gene_1,Gene_95
Gene_1,Gene_96
Gene_1,Gene_97
Gene_1,Gene_99
Gene_14,Gene_1
Gene_14,Gene_14
Gene_14,Gene_17
Gene_14,Gene_44
Gene_14,Gene_56
Gene_14,Gene_62
Gene_14,Gene_67
Gene_14,Gene_74
Gene_14,Gene_75
Gene_14,Gene_76
Gene_14,Gene_78
Gene_14,Gene_79
Gene_14,Gene_82
Gene_14,Gene_83
Gene_14,Gene_84
Gene_14,Gene_85
Gene_14,Gene_87
Gene_14,Gene_90
Gene_14,Gene_93
Gene_14,Gene_94
Gene_14,Gene_95
Gene_14,Gene_96
Gene_14,Gene_97
Gene_14,Gene_99
Gene_17,Gene_0
Gene_17,Gene_2
Gene_17,Gene_3
Gene_17,Gene_4
Gene_17,Gene_5
Gene_17,Gene_6
Gene_17,Gene_7
Gene_17,Gene_8
Gene_17,Gene_9
Gene_17,Gene_10
Gene_17,Gene_11
Gene_17,Gene_12
Gene_17,Gene_13
Gene_17,Gene_15
Gene_17,Gene_16
Gene_17,Gene_17
Gene_17,Gene_18
Gene_17,Gene_19
Gene_17,Gene_20
Gene_17,Gene_21
Gene_17,Gene_22
Gene_17,Gene_23
Gene_17,Gene_24
Gene_17,Gene_25
Gene_17,Gene_26
Gene_17,Gene_27
Gene_17,Gene_28
Gene_17,Gene_29
Gene_17,Gene_30
Gene_17,Gene_31
Gene_17,Gene_32
Gene_17,Gene_33
Gene_17,Gene_34
Gene_17,Gene_35
Gene_17,Gene_36
Gene_17,Gene_37
Gene_17,Gene_38
Gene_17,Gene_39
Gene_17,Gene_40
Gene_17,Gene_41
Gene_17,Gene_42
Gene_17,Gene_43
Gene_17,Gene_44
Gene_17,Gene_45
Gene_17,Gene_46
Gene_17,Gene_47
Gene_17,Gene_48
Gene_17,Gene_49
Gene_17,Gene_50
Gene_17,Gene_51
Gene_17,Gene_52
Gene_17,Gene_53
Gene_17,Gene_54
Gene_17,Gene_55
Gene_17,Gene_56
Gene_17,Gene_57
Gene_17,Gene_58
Gene_17,Gene_59
Gene_17,Gene_60
Gene_17,Gene_61
Gene_17,Gene_62
Gene_17,Gene_63
Gene_17,Gene_64
Gene_17,Gene_65
Gene_17,Gene_66
Gene_17,Gene_67
Gene_17,Gene_68
Gene_17,Gene_69
Gene_17,Gene_70
Gene_17,Gene_71
Gene_17,Gene_72
Gene_17,Gene_73
Gene_17,Gene_74
Gene_17,Gene_75
Gene_17,Gene_76
Gene_17,Gene_77
Gene_17,Gene_78
Gene_17,Gene_79
Gene_17,Gene_80
Gene_17,Gene_81
Gene_17,Gene_82
Gene_17,Gene_83
Gene_17,Gene_84
Gene_17,Gene_85
Gene_17,Gene_86
Gene_17,Gene_87
Gene_17,Gene_88
Gene_17,Gene_89
Gene_17,Gene_90
Gene_17,Gene_91
Gene_17,Gene_92
Gene_17,Gene_93
Gene_17,Gene_94
Gene_17,Gene_95
Gene_17,Gene_96
Gene_17,Gene_97
Gene_17,Gene_98
Gene_17,Gene_99
Gene_44,Gene_0
Gene_44,Gene_2
Gene_44,Gene_3
Gene_44,Gene_4
Gene_44,Gene_5
Gene_44,Gene_6
Gene_44,Gene_7
Gene_44,Gene_8
Gene_44,Gene_9
Gene_44,Gene_10
Gene_44,Gene_11
Gene_44,Gene_12
Gene_44,Gene_13
Gene_44,Gene_15
Gene_44,Gene_16
Gene_44,Gene_17
Gene_44,Gene_18
Gene_44,Gene_19
Gene_44,Gene_20
Gene_44,Gene_21
Gene_44,Gene_22
Gene_44,Gene_23
Gene_44,Gene_24
Gene_44,Gene_25
Gene_44,Gene_26
Gene_44,Gene_27
Gene_44,Gene_28
Gene_44,Gene_29
Gene_44,Gene_30
Gene_44,Gene_31
Gene_44,Gene_32
Gene_44,Gene_33
Gene_44,Gene_34
Gene_44,Gene_35
Gene_44,Gene_36
Gene_44,Gene_37
Gene_44,Gene_38
Gene_44,Gene_39
Gene_44,Gene_40
Gene_44,Gene_41
Gene_44,Gene_42
Gene_44,Gene_43
Gene_44,Gene_44
Gene_44,Gene_45
Gene_44,Gene_46
Gene_44,Gene_47
Gene_44,Gene_48
Gene_44,Gene_49
Gene_44,Gene_50
Gene_44,Gene_51
Gene_44,Gene_52
Gene_44,Gene_53
Gene_44,Gene_54
Gene_44,Gene_55
Gene_44,Gene_56
Gene_44,Gene_57
Gene_44,Gene_58
Gene_44,Gene_59
Gene_44,Gene_60
Gene_44,Gene_61
Gene_44,Gene_62
Gene_44,Gene_63
Gene_44,Gene_64
Gene_44,Gene_65
Gene_44,Gene_66
Gene_44,Gene_67
Gene_44,Gene_68
Gene_44,Gene_69
Gene_44,Gene_70
Gene_44,Gene_71
Gene_44,Gene_72
Gene_44,Gene_73
Gene_44,Gene_74
Gene_44,Gene_75
Gene_44,Gene_76
Gene_44,Gene_77
Gene_44,Gene_78
Gene_44,Gene_79
Gene_44,Gene_80
Gene_44,Gene_81
Gene_44,Gene_82
Gene_44,Gene_83
Gene_44,Gene_84
Gene_44,Gene_85
Gene_44,Gene_86
Gene_44,Gene_87
Gene_44,Gene_88
Gene_44,Gene_89
Gene_44,Gene_90
Gene_44,Gene_91
Gene_44,Gene_92
Gene_44,Gene_93
Gene_44,Gene_94
Gene_44,Gene_95
Gene_44,Gene_96
Gene_44,Gene_97
Gene_44,Gene_98
Gene_44,Gene_99
Gene_56,Gene_0
Gene_56,Gene_2
Gene_56,Gene_3
Gene_56,Gene_4
Gene_56,Gene_5
Gene_56,Gene_6
Gene_56,Gene_7
Gene_56,Gene_8
Gene_56,Gene_9
Gene_56,Gene_10
Gene_56,Gene_11
Gene_56,Gene_12
Gene_56,Gene_13
Gene_56,Gene_15
Gene_56,Gene_16
Gene_56,Gene_17
Gene_56,Gene_18
Gene_56,Gene_19
Gene_56,Gene_20
Gene_56,Gene_21
Gene_56,Gene_22
Gene_56,Gene_23
Gene_56,Gene_24
Gene_56,Gene_25
Gene_56,Gene_26
Gene_56,Gene_27
