Gene1,Gene2
Gene_75,Gene_0
Gene_75,Gene_1
Gene_75,Gene_2
Gene_75,Gene_3
Gene_75,Gene_6
Gene_75,Gene_7
Gene_75,Gene_8
Gene_75,Gene_9
Gene_75,Gene_11
Gene_75,Gene_12
Gene_75,Gene_13
Gene_75,Gene_16
Gene_75,Gene_17
Gene_75,Gene_18
Gene_75,Gene_20
Gene_75,Gene_21
Gene_75,Gene_22
Gene_75,Gene_23
Gene_75,Gene_26
Gene_75,Gene_27
Gene_75,Gene_28
Gene_75,Gene_29
Gene_75,Gene_30
Gene_75,Gene_32
Gene_75,Gene_35
Gene_75,Gene_36
Gene_75,Gene_39
Gene_75,Gene_42
Gene_75,Gene_46
Gene_75,Gene_47
Gene_75,Gene_48
Gene_75,Gene_49
Gene_75,Gene_50
Gene_75,Gene_51
Gene_75,Gene_52
Gene_75,Gene_54
Gene_75,Gene_55
Gene_75,Gene_59
Gene_75,Gene_61
Gene_75,Gene_62
Gene_75,Gene_64
Gene_75,Gene_65
Gene_75,Gene_69
Gene_75,Gene_70
Gene_75,Gene_71
Gene_75,Gene_72
Gene_75,Gene_73
Gene_75,Gene_77
Gene_75,Gene_79
Gene_75,Gene_81
Gene_75,Gene_83
Gene_75,Gene_84
Gene_75,Gene_85
Gene_75,Gene_87
Gene_75,Gene_89
Gene_75,Gene_92
Gene_75,Gene_93
Gene_75,Gene_94
Gene_75,Gene_98
Gene_75,Gene_99
Gene_75,Gene_101
Gene_75,Gene_106
Gene_75,Gene_107
Gene_75,Gene_109
Gene_75,Gene_113
Gene_75,Gene_115
Gene_75,Gene_116
Gene_75,Gene_121
Gene_75,Gene_122
Gene_75,Gene_123
Gene_75,Gene_124
Gene_75,Gene_126
Gene_75,Gene_128
Gene_75,Gene_129
Gene_75,Gene_131
Gene_75,Gene_132
Gene_75,Gene_133
Gene_75,Gene_135
Gene_75,Gene_138
Gene_75,Gene_139
Gene_75,Gene_142
Gene_75,Gene_143
Gene_75,Gene_145
Gene_75,Gene_146
Gene_75,Gene_147
Gene_75,Gene_149
Gene_75,Gene_150
Gene_75,Gene_153
Gene_75,Gene_157
Gene_75,Gene_160
Gene_75,Gene_161
Gene_75,Gene_166
Gene_75,Gene_167
Gene_75,Gene_168
Gene_75,Gene_169
Gene_75,Gene_173
Gene_75,Gene_174
Gene_75,Gene_176
Gene_75,Gene_179
Gene_75,Gene_180
Gene_75,Gene_181
Gene_75,Gene_185
Gene_75,Gene_189
Gene_75,Gene_190
Gene_75,Gene_191
Gene_75,Gene_196
Gene_75,Gene_197
Gene_75,Gene_198
Gene_75,Gene_199
Gene_75,Gene_200
Gene_75,Gene_201
Gene_75,Gene_205
Gene_75,Gene_206
Gene_75,Gene_208
Gene_75,Gene_209
Gene_75,Gene_210
Gene_75,Gene_212
Gene_75,Gene_213
Gene_75,Gene_214
Gene_75,Gene_215
Gene_75,Gene_216
Gene_75,Gene_217
Gene_75,Gene_219
Gene_75,Gene_220
Gene_75,Gene_221
Gene_75,Gene_223
Gene_75,Gene_228
Gene_75,Gene_229
Gene_75,Gene_231
Gene_75,Gene_233
Gene_75,Gene_235
Gene_75,Gene_237
Gene_75,Gene_240
Gene_75,Gene_242
Gene_75,Gene_243
Gene_75,Gene_244
Gene_75,Gene_246
Gene_75,Gene_247
Gene_75,Gene_248
Gene_75,Gene_252
Gene_75,Gene_255
Gene_75,Gene_256
Gene_75,Gene_257
Gene_75,Gene_260
Gene_75,Gene_262
Gene_75,Gene_263
Gene_75,Gene_264
Gene_75,Gene_265
Gene_75,Gene_269
Gene_75,Gene_270
Gene_75,Gene_271
Gene_75,Gene_272
Gene_75,Gene_273
Gene_75,Gene_274
Gene_75,Gene_275
Gene_75,Gene_276
Gene_75,Gene_277
Gene_75,Gene_281
Gene_75,Gene_282
Gene_75,Gene_283
Gene_75,Gene_284
Gene_75,Gene_285
Gene_75,Gene_290
Gene_75,Gene_292
Gene_75,Gene_293
Gene_75,Gene_294
Gene_75,Gene_297
Gene_75,Gene_299
Gene_75,Gene_301
Gene_75,Gene_302
Gene_75,Gene_306
Gene_75,Gene_307
Gene_75,Gene_308
Gene_75,Gene_309
Gene_75,Gene_310
Gene_75,Gene_311
Gene_75,Gene_314
Gene_75,Gene_315
Gene_75,Gene_316
Gene_75,Gene_317
Gene_75,Gene_318
Gene_75,Gene_319
Gene_75,Gene_321
Gene_75,Gene_323
Gene_75,Gene_324
Gene_75,Gene_327
Gene_75,Gene_328
Gene_75,Gene_331
Gene_75,Gene_332
Gene_75,Gene_333
Gene_75,Gene_334
Gene_75,Gene_336
Gene_75,Gene_337
Gene_75,Gene_338
Gene_75,Gene_341
Gene_75,Gene_344
Gene_75,Gene_348
Gene_75,Gene_351
Gene_75,Gene_353
Gene_75,Gene_354
Gene_75,Gene_355
Gene_75,Gene_356
Gene_75,Gene_358
Gene_75,Gene_359
Gene_75,Gene_361
Gene_75,Gene_362
Gene_75,Gene_365
Gene_75,Gene_366
Gene_75,Gene_367
Gene_75,Gene_368
Gene_75,Gene_369
Gene_75,Gene_371
Gene_75,Gene_372
Gene_75,Gene_375
Gene_75,Gene_377
Gene_75,Gene_378
Gene_75,Gene_380
Gene_75,Gene_382
Gene_75,Gene_384
Gene_75,Gene_386
Gene_75,Gene_388
Gene_75,Gene_389
Gene_75,Gene_390
Gene_75,Gene_392
Gene_75,Gene_393
Gene_75,Gene_397
Gene_75,Gene_398
Gene_75,Gene_399
Gene_75,Gene_400
Gene_75,Gene_403
Gene_75,Gene_405
Gene_75,Gene_407
Gene_75,Gene_408
Gene_75,Gene_409
Gene_75,Gene_412
Gene_75,Gene_414
Gene_75,Gene_415
Gene_75,Gene_417
Gene_75,Gene_418
Gene_75,Gene_421
Gene_75,Gene_422
Gene_75,Gene_425
Gene_75,Gene_426
Gene_75,Gene_429
Gene_75,Gene_432
Gene_75,Gene_433
Gene_75,Gene_434
Gene_75,Gene_438
Gene_75,Gene_439
Gene_75,Gene_441
Gene_75,Gene_442
Gene_75,Gene_444
Gene_75,Gene_446
Gene_75,Gene_448
Gene_75,Gene_451
Gene_75,Gene_452
Gene_75,Gene_453
Gene_75,Gene_455
Gene_75,Gene_457
Gene_75,Gene_458
Gene_75,Gene_462
Gene_75,Gene_463
Gene_75,Gene_464
Gene_75,Gene_465
Gene_75,Gene_466
Gene_75,Gene_467
Gene_75,Gene_468
Gene_75,Gene_469
Gene_75,Gene_470
