Gene1,Gene2
Gene_1,Gene_0
Gene_1,Gene_2
Gene_1,Gene_3
Gene_1,Gene_4
Gene_1,Gene_5
Gene_1,Gene_6
Gene_1,Gene_7
Gene_1,Gene_8
Gene_1,Gene_10
Gene_1,Gene_12
Gene_1,Gene_13
Gene_1,Gene_14
Gene_1,Gene_15
Gene_1,Gene_16
Gene_1,Gene_17
Gene_1,Gene_18
Gene_1,Gene_20
Gene_1,Gene_55
Gene_1,Gene_63
Gene_1,Gene_94
Gene_1,Gene_172
Gene_1,Gene_365
Gene_1,Gene_378
Gene_19,Gene_15
Gene_19,Gene_18
Gene_19,Gene_21
Gene_19,Gene_22
Gene_19,Gene_23
Gene_19,Gene_24
Gene_19,Gene_25
Gene_19,Gene_26
Gene_19,Gene_27
Gene_19,Gene_28
Gene_19,Gene_29
Gene_19,Gene_31
Gene_19,Gene_32
Gene_19,Gene_33
Gene_19,Gene_34
Gene_19,Gene_35
Gene_19,Gene_37
Gene_19,Gene_38
Gene_19,Gene_39
Gene_19,Gene_40
Gene_19,Gene_42
Gene_19,Gene_45
Gene_19,Gene_48
Gene_19,Gene_49
Gene_19,Gene_50
Gene_19,Gene_51
Gene_19,Gene_52
Gene_19,Gene_53
Gene_19,Gene_55
Gene_19,Gene_56
Gene_19,Gene_57
Gene_19,Gene_61
Gene_19,Gene_63
Gene_19,Gene_65
Gene_19,Gene_71
Gene_19,Gene_73
Gene_19,Gene_75
Gene_19,Gene_76
Gene_19,Gene_77
Gene_19,Gene_81
Gene_19,Gene_90
Gene_19,Gene_101
Gene_19,Gene_103
Gene_19,Gene_106
Gene_19,Gene_107
Gene_19,Gene_108
Gene_19,Gene_109
Gene_19,Gene_110
Gene_19,Gene_112
Gene_19,Gene_117
Gene_19,Gene_124
Gene_19,Gene_128
Gene_19,Gene_129
Gene_19,Gene_140
Gene_19,Gene_158
Gene_19,Gene_160
Gene_19,Gene_168
Gene_19,Gene_176
Gene_19,Gene_188
Gene_19,Gene_192
Gene_19,Gene_201
Gene_19,Gene_203
Gene_19,Gene_216
Gene_19,Gene_224
Gene_19,Gene_232
Gene_19,Gene_237
Gene_19,Gene_281
Gene_19,Gene_306
Gene_19,Gene_311
Gene_19,Gene_317
Gene_19,Gene_377
Gene_19,Gene_396
Gene_30,Gene_23
Gene_30,Gene_24
Gene_30,Gene_27
Gene_30,Gene_31
Gene_30,Gene_32
Gene_30,Gene_33
Gene_30,Gene_34
Gene_30,Gene_35
Gene_30,Gene_36
Gene_30,Gene_37
Gene_30,Gene_39
Gene_30,Gene_40
Gene_30,Gene_42
Gene_30,Gene_44
Gene_30,Gene_45
Gene_30,Gene_59
Gene_30,Gene_60
Gene_30,Gene_61
Gene_30,Gene_70
